Unnamed: 0,Title,Content,Level,Tag,Category,Author
158,프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),"['입문자도 쉽게 할 수 있는 프로그래밍 입문', '파이썬 기초 문법과 활용법을 배울 수 있어요', '데이터 분석', '업무 자동화']",입문자,['Python'],"['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['인프런']
159,우아한 고성능 프로그래밍 언어 Rust 입문 및 활용,"['Rust', '웹어셈블리']",초급자,"['rust', 'webassembly']","['NEW', '개발 · 프로그래밍', '프로그래밍 언어']",['김대현']
160,[인프런x코드캠프] 부트캠프에서 만든 고농축 백엔드 코스,"['실무 포트폴리오 2개', '최신 기술 스택을 활용한 6개의 프로젝트 구현', '프로그래밍 언어와 개념 학습', '고난도 API기능 구현 (로그인·결제·파일 업로드·이미지 서비스)', 'Javascript 기반 최신 웹 프레임워크 Nest 집중공략', '통신 기초부터 테스트코드 작성까지 완벽한 사이클 이해', '실무 커뮤니케이션 역량 증진']",입문자,"['NestJS', 'Node.js', 'JavaScript', 'Docker', 'TDD']","['BEST', '개발 · 프로그래밍', '백엔드']",['코드캠프']
161,[게임 프로그래머 입문 올인원] C++ & 자료구조/알고리즘 & STL & 게임 수학 & Windows API & 게임 서버,"['C++', '게임 프로그래밍', '자료구조 & 알고리즘', 'STL', '게임 수학', 'Windows API', '게임 서버']",입문자,"['C++', 'UE Blueprint', '게임수학', 'windows-api', '네트워크']","['게임 개발', '게임 프로그래밍']",['Rookiss']
162,실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발,"['스프링 부트와 JPA를 활용해서 실무에서 자바 웹 애플리케이션을 개발할 수 있습니다.', '스프링 부트와 JPA를 활용하는 최적의 방법을 이해합니다.', '도메인 모델을 이해하고 설계할 수 있습니다.', '도메인 주도 설계를 이해합니다.']",초급자,"['Java', 'Spring', '웹앱', 'Spring Boot', 'JPA']","['BEST', '개발 · 프로그래밍', '백엔드']",['김영한']
163,고수가 되는 파이썬 : 동시성과 병렬성 문법 배우기 Feat. 멀티스레딩 vs 멀티프로세싱 (Inflearn Original),"['수준있는 운영체제 기반 성능 프로그래밍', '파이썬 실전 문법', '운영체제 OS 지식', '파이썬 기술 면접 대비 수준있는 지식', '개발자(엔지니어)를 위한 프로그래밍 지식', '기타 개발 관련 지식']",중급자,"['Python', '동시성']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['인프런']
164,실리콘밸리 엔지니어가 가르치는 파이썬 기초부터 고급까지,"['파이썬', '알고리즘', '베스트 코드 스킬']",입문자,"['Python', '알고리즘']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['Seungjoon Lee']
165,ElasticSearch Essential,"['ElasticSearch 기본 개념', 'ElasticSearch 모니터링', 'ElasticSearch 동작 이해', 'ElasticSearch 트러블 슈팅']",초급자,['Elasticsearch'],"['BEST', '개발 · 프로그래밍', '데브옵스 · 인프라']",['강진우']
166,[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"['안드로이드 문법', '코틀린 문법', '다양한 앱 만들기 실습', '파이어베이스(Firebase)']",입문자,"['Android', 'Kotlin', 'Firebase']","['BEST', '개발 · 프로그래밍', '모바일 앱 개발']",['개복치개발자']
167,Slack 클론 코딩[실시간 채팅 with React],"['리액트 웹 개발', '프론트 초기 세팅(CRA 없이)', 'SWR(리덕스 대체)', 'Emotion(스타일드 컴포넌트)', 'Socket.io 실시간 채팅']",중급자,"['클론코딩', 'React', 'TypeScript', 'Webpack', 'Babel']","['BEST', '개발 · 프로그래밍', '프론트엔드']",['조현영']
